host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
100%,86%,t,3.0,3.0,t,la Dreta de l'Eixample,41.39144,2.16128,Entire rental unit,Entire home/apt,4,2.0,4.0,$292.00,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,2,4,20,253,515,78,3,30,65,255,74460.0,4.85,4.87,4.89,4.86,4.89,4.96,4.77,f,2,3.2
100%,94%,t,1.0,6.0,t,la Vila de GrÃ cia,41.40002,2.1579,Entire rental unit,Entire home/apt,6,2.0,3.0,$150.00,2,30,2.0,2.0,30.0,30.0,2.0,30.0,3,6,25,212,456,56,6,38,66,255,38250.0,4.66,4.78,4.63,4.73,4.81,4.92,4.66,f,1,2.83
100%,100%,t,22.0,27.0,t,la Sagrada FamÃ­lia,41.40998,2.17553,Entire rental unit,Entire home/apt,5,2.0,4.0,$171.00,4,1124,1.0,5.0,1125.0,1125.0,4.0,1125.0,4,14,44,105,223,27,2,62,27,216,36936.0,4.66,4.75,4.74,4.83,4.85,4.81,4.59,t,21,1.39
100%,70%,t,1.0,1.0,t,el Barri GÃ²tic,41.37733,2.17651,Private room in rental unit,Private room,1,1.0,1.0,$35.00,31,62,31.0,31.0,62.0,62.0,31.0,62.0,1,13,43,133,373,10,0,61,10,255,8925.0,4.79,4.82,4.76,4.87,4.87,4.91,4.76,f,1,2.35
94%,93%,f,4.0,8.0,t,la Dreta de l'Eixample,41.38946,2.17593,Entire rental unit,Entire home/apt,3,1.0,2.0,$164.00,4,1124,4.0,4.0,1124.0,1124.0,4.0,1124.0,10,30,60,240,143,33,1,78,31,255,41820.0,4.7,4.7,4.63,4.8,4.77,4.92,4.48,f,4,0.89
94%,93%,f,4.0,8.0,t,el Raval,41.38139,2.16692,Entire loft,Entire home/apt,4,1.0,2.0,$127.00,4,1125,3.0,4.0,1125.0,1125.0,4.0,1125.0,5,28,58,238,244,25,3,76,27,200,25400.0,4.79,4.86,4.8,4.83,4.86,4.72,4.6,f,4,1.51
100%,100%,f,14.0,14.0,t,la Dreta de l'Eixample,41.39195,2.1714,Entire rental unit,Entire home/apt,6,3.0,3.0,$359.00,2,365,2.0,10.0,1125.0,1125.0,3.6,1125.0,14,44,72,209,74,0,0,90,0,0,0.0,4.47,4.65,4.59,4.43,4.47,4.77,4.45,t,14,0.69
100%,96%,t,1.0,2.0,t,la Nova Esquerra de l'Eixample,41.37850578093848,2.151792572674604,Private room in condo,Private room,2,1.0,1.0,$119.00,3,730,3.0,3.0,730.0,730.0,3.0,730.0,19,49,79,79,167,15,0,79,1,90,10710.0,4.86,4.82,4.92,4.95,4.9,4.79,4.71,f,1,1.24
100%,100%,t,2.0,5.0,t,el Barri GÃ²tic,41.38046,2.17822,Entire condo,Entire home/apt,4,2.0,3.0,$177.00,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0,14,14,27,302,41,3,0,45,6,186,32922.0,4.46,4.49,3.88,4.9,4.85,4.73,4.32,f,2,0.25
100%,86%,t,45.0,46.0,t,el Poble Sec,41.37501,2.16009,Entire rental unit,Entire home/apt,8,4.0,4.0,$258.00,3,1124,1.0,4.0,1124.0,1124.0,3.1,1124.0,7,16,23,24,359,42,3,23,47,252,65016.0,4.55,4.69,4.55,4.64,4.72,4.77,4.57,f,43,2.25
100%,99%,t,3.0,7.0,t,la Dreta de l'Eixample,41.396084,2.168906,Entire loft,Entire home/apt,2,1.0,2.0,$134.00,2,11,2.0,2.0,1125.0,1125.0,2.0,1125.0,9,23,29,185,213,46,2,29,31,255,34170.0,4.75,4.83,4.72,4.82,4.84,4.91,4.56,f,3,1.31
100%,67%,t,4.0,7.0,t,la Vila de GrÃ cia,41.39822,2.16081,Entire rental unit,Entire home/apt,4,2.0,3.0,$203.00,4,1125,2.0,4.0,1125.0,1125.0,3.9,1125.0,7,22,52,327,144,40,3,70,33,255,51765.0,4.91,4.92,4.95,4.94,4.98,4.98,4.78,f,4,1.22
100%,67%,t,4.0,7.0,t,Sant Gervasi - Galvany,41.39871,2.15292,Entire rental unit,Entire home/apt,4,2.0,3.0,$243.00,3,365,3.0,3.0,365.0,365.0,3.0,365.0,1,21,51,231,104,27,1,69,17,162,39366.0,4.83,4.86,4.88,4.95,4.98,4.84,4.69,f,4,0.81
100%,67%,t,4.0,7.0,t,la Vila de GrÃ cia,41.3990403,2.1527793,Entire rental unit,Entire home/apt,5,2.0,4.0,$225.00,4,365,2.0,6.0,365.0,365.0,4.8,365.0,3,21,49,310,126,29,1,63,35,232,52200.0,4.91,4.91,4.9,4.93,4.94,4.85,4.73,f,4,1.09
100%,98%,t,5.0,6.0,t,el Parc i la Llacuna del Poblenou,41.40248,2.19668,Private room in rental unit,Private room,1,1.0,1.0,$10.00,1,150,2.0,10.0,8.0,150.0,9.7,149.2,2,32,62,337,345,36,1,80,39,216,2160.0,4.68,4.77,4.57,4.83,4.89,4.7,4.7,f,2,2.13
100%,99%,f,40.0,111.0,t,la Dreta de l'Eixample,41.39696,2.16652,Entire rental unit,Entire home/apt,4,1.0,1.0,$188.00,1,1125,2.0,7.0,365.0,365.0,6.6,365.0,12,42,72,90,143,33,2,90,32,198,37224.0,4.69,4.8,4.72,4.8,4.84,4.96,4.54,t,40,1.31
100%,99%,f,40.0,111.0,t,el Camp d'en Grassot i GrÃ cia Nova,41.40385,2.1691,Entire rental unit,Entire home/apt,5,2.0,2.0,$164.00,1,1125,2.0,7.0,365.0,365.0,6.6,365.0,14,40,70,88,117,21,3,88,25,126,20664.0,4.32,4.42,4.36,4.51,4.74,4.74,4.12,t,40,1.04
100%,99%,f,40.0,111.0,t,la Sagrada FamÃ­lia,41.40347,2.17157,Entire rental unit,Entire home/apt,4,2.0,3.0,$225.00,1,1125,1.0,7.0,365.0,365.0,6.6,365.0,14,44,74,92,194,37,3,92,21,222,49950.0,4.45,4.48,4.31,4.7,4.78,4.86,4.37,f,40,1.49
100%,98%,t,5.0,6.0,t,el Parc i la Llacuna del Poblenou,41.4016,2.19424,Private room in rental unit,Private room,1,1.0,1.0,$72.00,5,1125,1.0,10.0,1125.0,1125.0,9.7,1125.0,1,14,44,313,344,39,3,63,36,255,18360.0,4.67,4.74,4.52,4.83,4.81,4.68,4.64,f,2,2.13
100%,100%,t,1.0,1.0,t,la Dreta de l'Eixample,41.39795,2.17166,Entire rental unit,Entire home/apt,3,2.0,2.0,$182.00,5,30,3.0,5.0,1125.0,1125.0,5.0,1125.0,1,18,48,130,244,42,2,63,41,255,46410.0,4.91,4.9,4.86,4.86,4.95,4.95,4.8,f,1,1.96
83%,28%,f,426.0,618.0,t,"Sant Pere, Santa Caterina i la Ribera",41.38467,2.18016,Entire rental unit,Entire home/apt,6,3.0,4.0,$208.00,2,330,2.0,5.0,330.0,330.0,3.1,330.0,30,60,90,365,4,0,0,108,1,0,0.0,4.75,4.75,5.0,5.0,5.0,4.75,4.25,f,413,0.03
100%,95%,t,2.0,2.0,t,l'Antiga Esquerra de l'Eixample,41.39161,2.15782,Entire rental unit,Entire home/apt,2,2.0,2.0,$197.00,6,91,3.0,6.0,1125.0,1125.0,5.9,1125.0,5,28,58,148,210,43,5,76,44,255,50235.0,4.91,4.91,4.86,4.97,4.97,4.95,4.76,f,2,1.3
100%,88%,t,2.0,2.0,t,el CongrÃ©s i els Indians,41.42257,2.18047,Entire rental unit,Entire home/apt,3,3.0,3.0,$180.00,7,1125,1.0,7.0,1125.0,1125.0,6.9,1125.0,5,13,36,260,39,4,0,36,6,56,10080.0,4.64,4.77,4.85,4.95,4.9,4.56,4.69,f,2,0.26
83%,28%,f,426.0,618.0,t,la Sagrada FamÃ­lia,41.40376,2.17292,Entire rental unit,Entire home/apt,5,2.0,5.0,$250.00,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,30,60,90,365,7,0,0,108,0,0,0.0,4.2,4.29,4.57,4.57,4.71,4.71,3.71,f,413,0.04
83%,28%,f,426.0,618.0,t,la Sagrada FamÃ­lia,41.40187,2.1729,Entire rental unit,Entire home/apt,5,2.0,5.0,$250.00,2,330,2.0,2.0,330.0,330.0,2.0,330.0,30,60,90,365,4,0,0,108,0,0,0.0,4.75,4.75,4.75,5.0,5.0,5.0,4.5,f,413,0.02
100%,100%,f,5.0,9.0,t,el Raval,41.37779,2.16729,Entire rental unit,Entire home/apt,6,2.0,6.0,$218.00,6,600,2.0,6.0,600.0,600.0,6.0,600.0,1,5,23,266,73,4,0,34,3,48,10464.0,4.67,4.62,4.62,4.85,4.9,4.49,4.45,t,5,0.48
100%,100%,f,5.0,9.0,t,el Raval,41.37701,2.16663,Entire rental unit,Entire home/apt,5,2.0,3.0,$164.00,6,60,2.0,6.0,1125.0,1125.0,5.9,1125.0,3,7,22,261,44,3,1,37,6,36,5904.0,4.84,4.88,4.72,4.91,4.93,4.74,4.64,t,5,0.3
100%,99%,f,14.0,16.0,t,el Fort Pienc,41.40012,2.1756,Entire rental unit,Entire home/apt,6,3.0,4.0,$350.00,2,365,2.0,2.0,365.0,365.0,2.0,365.0,9,23,50,270,96,6,0,64,7,36,12600.0,4.71,4.68,4.82,4.79,4.78,4.8,4.6,f,14,0.6
100%,99%,f,14.0,16.0,t,el Fort Pienc,41.4003,2.17502,Entire rental unit,Entire home/apt,8,4.0,6.0,$408.00,2,360,2.0,2.0,360.0,360.0,2.0,360.0,5,11,28,74,164,12,1,34,1,72,29376.0,4.71,4.77,4.82,4.76,4.7,4.75,4.71,f,14,1.02
100%,100%,f,1.0,4.0,t,la Vila OlÃ­mpica del Poblenou,41.39095,2.1964,Entire townhouse,Entire home/apt,5,2.0,4.0,$263.00,3,365,3.0,3.0,1125.0,1125.0,3.0,1125.0,21,44,74,307,61,9,1,88,13,54,14202.0,4.77,4.77,4.67,4.87,4.9,4.9,4.62,t,1,0.38
100%,93%,t,12.0,24.0,t,la Dreta de l'Eixample,41.39506,2.17308,Entire rental unit,Entire home/apt,8,4.0,5.0,$330.00,2,60,1.0,2.0,60.0,60.0,2.0,60.0,11,22,45,320,694,63,3,63,83,255,84150.0,4.81,4.88,4.82,4.88,4.92,4.88,4.79,f,12,4.66
100%,86%,t,45.0,46.0,t,l'Antiga Esquerra de l'Eixample,41.3888,2.15898,Entire rental unit,Entire home/apt,5,3.0,4.0,$239.00,3,1125,2.0,4.0,1125.0,1125.0,3.1,1125.0,4,12,38,87,386,33,0,56,50,198,47322.0,4.63,4.72,4.6,4.72,4.82,4.86,4.62,f,43,2.41
94%,76%,t,2.0,2.0,t,la Dreta de l'Eixample,41.39646,2.17132,Entire rental unit,Entire home/apt,4,2.0,2.0,$233.00,4,160,4.0,28.0,160.0,160.0,11.9,160.0,0,2,15,237,211,22,1,32,26,176,41008.0,4.8,4.82,4.84,4.82,4.79,4.89,4.74,f,1,1.44
100%,100%,f,3.0,3.0,t,la Vila de GrÃ cia,41.39807,2.15483,Private room in rental unit,Private room,2,1.0,0.0,$45.00,31,90,31.0,31.0,90.0,90.0,31.0,90.0,23,53,83,358,146,1,0,101,1,62,2790.0,4.73,4.86,4.78,4.9,4.81,4.94,4.68,f,3,1.02
100%,100%,t,5.0,6.0,t,Sant Antoni,41.37535,2.16727,Entire serviced apartment,Entire home/apt,11,4.0,9.0,$397.00,3,45,1.0,5.0,28.0,99.0,2.5,59.5,17,40,70,322,990,180,15,88,204,255,101235.0,4.95,4.92,4.93,4.96,4.97,4.85,4.86,t,3,6.14
100%,91%,t,1.0,1.0,t,el Fort Pienc,41.39877,2.17755,Entire loft,Entire home/apt,2,1.0,1.0,$287.00,3,30,3.0,3.0,30.0,30.0,3.0,30.0,13,43,73,344,233,21,2,91,26,126,36162.0,4.78,4.82,4.89,4.83,4.86,4.87,4.71,f,1,1.58
100%,100%,t,5.0,6.0,t,Sant Antoni,41.37535,2.16727,Entire serviced apartment,Entire home/apt,9,3.0,8.0,$336.00,3,90,1.0,5.0,10.0,99.0,2.5,48.3,12,33,61,300,806,171,14,79,176,255,85680.0,4.97,4.96,4.93,4.98,4.97,4.83,4.87,t,3,5.08
100%,100%,t,1.0,1.0,t,Sant Antoni,41.38075,2.15804,Entire rental unit,Entire home/apt,4,2.0,4.0,$161.00,3,30,3.0,3.0,30.0,30.0,3.0,30.0,7,15,37,109,605,60,4,52,60,255,41055.0,4.86,4.87,4.91,4.97,4.96,4.9,4.83,f,1,3.79
83%,28%,f,426.0,618.0,t,la Sagrada FamÃ­lia,41.40263,2.17072,Entire rental unit,Entire home/apt,5,2.0,2.0,$250.00,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,30,60,90,365,4,0,0,108,0,0,0.0,3.75,4.0,4.0,5.0,4.75,4.75,3.5,f,413,0.05
83%,28%,f,426.0,618.0,t,la Sagrada FamÃ­lia,41.40213,2.17083,Entire rental unit,Entire home/apt,3,1.0,3.0,$250.00,2,330,2.0,2.0,330.0,330.0,2.0,330.0,30,60,90,365,2,0,0,108,0,0,0.0,4.0,3.5,4.0,4.5,4.5,4.5,4.0,f,413,0.01
100%,84%,f,1.0,1.0,t,la Sagrada FamÃ­lia,41.4091495,2.1756861,Private room in rental unit,Private room,2,1.0,1.0,$62.00,1,5,1.0,3.0,5.0,5.0,1.1,5.0,2,24,54,202,8,8,2,68,0,48,2976.0,5.0,5.0,5.0,5.0,4.88,5.0,4.88,f,1,4.62
70%,0%,f,2.0,2.0,t,"Sant Pere, Santa Caterina i la Ribera",41.38361,2.18552,Private room in rental unit,Private room,1,1.0,1.0,$60.00,3,21,4.0,4.0,21.0,21.0,4.0,21.0,28,58,88,88,52,0,0,88,1,0,0.0,4.8,4.83,4.67,4.87,4.88,5.0,4.81,f,2,0.35
100%,91%,f,2.0,6.0,t,la Nova Esquerra de l'Eixample,41.38201,2.14828,Entire rental unit,Entire home/apt,5,3.0,4.0,$163.00,4,120,2.0,4.0,120.0,120.0,3.8,120.0,0,9,34,206,271,31,1,52,44,248,40424.0,4.59,4.73,4.65,4.88,4.88,4.67,4.56,f,2,1.79
60%,5%,f,8.0,13.0,t,el Raval,41.38141,2.16374,Entire rental unit,Entire home/apt,3,1.0,3.0,$65.00,32,1125,28.0,28.0,1125.0,1125.0,28.0,1125.0,0,0,0,257,2,0,0,0,0,0,0.0,2.5,4.0,2.0,5.0,5.0,3.0,2.0,f,8,0.01
100%,94%,f,1.0,1.0,t,Sant Antoni,41.37641,2.15895,Entire rental unit,Entire home/apt,2,1.0,1.0,$132.00,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,0,5,22,267,904,90,3,35,103,255,33660.0,4.76,4.8,4.77,4.91,4.94,4.85,4.71,f,1,5.74
100%,100%,f,3.0,3.0,t,Sant Gervasi - Galvany,41.39748,2.15357,Private room in rental unit,Private room,2,1.0,1.0,$45.00,31,90,31.0,31.0,90.0,90.0,31.0,90.0,27,57,87,362,101,1,0,105,1,62,2790.0,4.82,4.83,4.8,4.87,4.81,4.94,4.82,f,3,0.66
100%,88%,t,2.0,2.0,t,la Nova Esquerra de l'Eixample,41.38192,2.15563,Private room in rental unit,Private room,2,1.0,1.0,$41.00,30,360,30.0,30.0,360.0,360.0,30.0,360.0,0,0,25,300,116,5,0,43,3,255,10455.0,4.9,4.87,4.95,4.95,4.91,4.93,4.85,f,2,0.75
100%,88%,t,2.0,2.0,t,la Nova Esquerra de l'Eixample,41.3819,2.15419,Private room in rental unit,Private room,2,1.0,1.0,$39.00,30,100,30.0,30.0,100.0,100.0,30.0,100.0,14,44,74,349,92,3,0,92,2,180,7020.0,4.76,4.86,4.92,4.92,4.85,4.88,4.67,f,2,0.58
100%,71%,t,3.0,3.0,t,la Barceloneta,41.37877,2.19063,Entire rental unit,Entire home/apt,2,1.0,1.0,$70.00,32,364,32.0,32.0,364.0,364.0,32.0,364.0,4,16,46,321,76,6,0,65,5,255,17850.0,4.93,4.95,4.73,4.96,5.0,4.93,4.78,f,3,0.51
100%,100%,f,2.0,2.0,t,la Sagrada FamÃ­lia,41.40315,2.18462,Private room in rental unit,Private room,1,1.0,1.0,$35.00,28,365,28.0,28.0,1125.0,1125.0,28.0,1125.0,0,0,0,175,68,12,1,14,6,255,8925.0,4.6,4.66,4.84,4.81,4.78,4.69,4.69,t,2,0.61
100%,99%,f,40.0,111.0,t,la Vila OlÃ­mpica del Poblenou,41.389347076416016,2.19726300239563,Entire rental unit,Entire home/apt,5,3.0,0.0,$284.00,1,300,5.0,7.0,365.0,365.0,6.9,365.0,13,43,73,84,40,5,2,84,1,30,8520.0,4.54,4.47,4.5,4.53,4.63,4.76,4.53,f,40,0.27
100%,100%,t,1.0,1.0,t,el Fort Pienc,41.39696816949049,2.17838731285169,Entire rental unit,Entire home/apt,11,4.0,6.0,$409.00,3,1125,3.0,3.0,730.0,730.0,3.0,730.0,18,45,75,299,143,12,1,88,20,72,29448.0,4.87,4.92,4.87,4.93,4.94,4.85,4.8,t,1,0.92
100%,99%,t,1.0,1.0,t,el Putxet i el FarrÃ³,41.41015,2.14451,Entire rental unit,Entire home/apt,11,4.0,7.0,$263.00,2,30,2.0,2.0,1125.0,1125.0,2.0,1125.0,5,9,22,183,565,53,4,30,49,255,67065.0,4.88,4.9,4.84,4.9,4.91,4.68,4.81,f,1,3.52
100%,88%,f,1.0,1.0,t,el Poblenou,41.399,2.2062,Entire rental unit,Entire home/apt,7,3.0,5.0,$228.00,3,90,1.0,3.0,90.0,90.0,3.0,90.0,11,25,55,172,282,42,1,73,37,252,57456.0,4.68,4.76,4.71,4.74,4.76,4.78,4.54,f,1,1.76
100%,100%,f,14.0,14.0,t,la Dreta de l'Eixample,41.39401,2.17159,Entire rental unit,Entire home/apt,5,1.0,2.0,$207.00,2,365,2.0,10.0,1125.0,1125.0,3.6,1125.0,0,19,49,182,175,33,1,63,42,198,40986.0,4.58,4.71,4.6,4.65,4.67,4.89,4.58,t,14,1.55
100%,99%,t,1.0,1.0,t,la Sagrada FamÃ­lia,41.40275,2.17698,Entire loft,Entire home/apt,2,1.0,1.0,$165.00,6,1125,1.0,6.0,1125.0,1125.0,5.9,1125.0,2,28,58,304,475,42,3,76,54,255,42075.0,4.78,4.85,4.72,4.86,4.96,4.9,4.72,f,1,2.98
100%,98%,t,1.0,1.0,t,Sant Antoni,41.37971,2.1575,Entire rental unit,Entire home/apt,6,2.0,3.0,$162.00,3,30,3.0,3.0,30.0,30.0,3.0,30.0,3,11,39,111,482,72,5,54,64,255,41310.0,4.83,4.85,4.87,4.98,4.98,4.89,4.79,f,1,3.16
100%,99%,t,16.0,17.0,t,la Dreta de l'Eixample,41.39987,2.17047,Entire rental unit,Entire home/apt,5,2.0,1.0,$187.00,3,30,2.0,5.0,364.0,1125.0,3.4,866.5,1,18,48,161,635,47,3,66,42,255,47685.0,4.87,4.93,4.87,4.9,4.95,4.89,4.82,f,10,3.97
100%,100%,t,4.0,11.0,t,la Vila de GrÃ cia,41.40709,2.15523,Entire rental unit,Entire home/apt,6,2.0,4.0,$268.00,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,5,21,49,324,492,49,4,68,42,255,68340.0,4.82,4.86,4.79,4.87,4.88,4.82,4.73,t,1,3.22
100%,100%,t,2.0,2.0,t,la Barceloneta,41.377438,2.188638,Entire rental unit,Entire home/apt,4,2.0,4.0,$295.00,3,1125,2.0,3.0,1125.0,1125.0,3.0,1125.0,10,23,53,320,172,18,1,69,29,108,31860.0,4.92,4.94,4.88,4.94,4.91,4.97,4.72,f,2,1.15
100%,70%,t,2.0,2.0,t,el Raval,41.3848,2.16546,Entire rental unit,Entire home/apt,6,3.0,6.0,$207.00,2,30,1.0,2.0,30.0,30.0,2.0,30.0,6,30,60,335,279,46,3,78,71,255,52785.0,4.74,4.77,4.73,4.8,4.72,4.92,4.62,f,2,1.75
83%,28%,f,426.0,618.0,t,la Sagrada FamÃ­lia,41.40187,2.17208,Entire rental unit,Entire home/apt,3,1.0,2.0,$131.00,32,330,32.0,32.0,330.0,330.0,32.0,330.0,30,60,90,365,0,0,0,108,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,413,1.6996607294317219
100%,100%,t,2.0,3.0,t,la Bordeta,41.37206,2.14117,Private room in rental unit,Private room,2,1.0,1.0,$62.00,1,10,1.0,1.0,1125.0,1125.0,1.0,1125.0,0,7,28,272,494,123,10,43,117,255,15810.0,4.85,4.88,4.94,4.92,4.92,4.74,4.8,t,2,3.94
100%,80%,f,3.0,6.0,t,la Vila de GrÃ cia,41.4076,2.15787,Private room in rental unit,Private room,1,1.0,0.0,$40.00,31,360,31.0,31.0,360.0,360.0,31.0,360.0,0,0,13,194,38,2,0,32,5,124,4960.0,4.69,4.62,4.81,4.92,4.82,4.95,4.84,f,3,0.24
100%,98%,t,1.0,4.0,t,el Fort Pienc,41.39544,2.17887,Entire loft,Entire home/apt,5,3.0,5.0,$356.00,5,60,4.0,6.0,1125.0,1125.0,5.0,1125.0,16,46,76,256,126,28,3,94,31,255,90780.0,4.9,4.85,4.91,4.98,4.98,4.94,4.72,f,1,0.95
100%,100%,f,33.0,53.0,t,Sant Antoni,41.37752,2.16021,Entire rental unit,Entire home/apt,4,2.0,4.0,$169.00,1,365,3.0,3.0,999.0,999.0,3.0,999.0,4,13,32,241,226,2,0,33,8,12,2028.0,4.51,4.61,4.67,4.88,4.87,4.7,4.43,t,1,1.43
100%,83%,t,5.0,6.0,t,la Maternitat i Sant Ramon,41.37606,2.12222,Entire serviced apartment,Entire home/apt,5,3.0,3.0,$140.00,21,500,21.0,21.0,500.0,500.0,21.0,500.0,29,59,89,269,18,9,0,107,9,255,35700.0,4.83,4.83,4.67,4.83,4.89,4.83,4.78,f,2,0.24
0%,8%,f,1.0,2.0,t,el Poblenou,41.39698,2.19963,Entire rental unit,Entire home/apt,4,2.0,2.0,$140.00,7,28,4.0,4.0,28.0,28.0,4.0,28.0,0,13,43,310,181,1,0,58,3,14,1960.0,4.67,4.67,4.75,4.82,4.76,4.69,4.55,f,1,1.15
100%,93%,f,1.0,1.0,t,el Poble Sec,41.37335,2.15589,Entire rental unit,Entire home/apt,5,2.0,2.0,$150.00,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,3,5,5,9,158,14,2,5,17,84,12600.0,4.62,4.68,4.59,4.79,4.75,4.74,4.49,f,1,1.0
100%,99%,t,7.0,7.0,t,la Dreta de l'Eixample,41.39025,2.16474,Entire rental unit,Entire home/apt,6,3.0,4.0,$436.00,3,330,1.0,3.0,330.0,330.0,3.0,330.0,8,28,53,321,465,47,2,65,54,255,111180.0,4.9,4.94,4.85,4.92,4.91,4.96,4.79,t,6,3.31
100%,98%,t,4.0,6.0,t,el Parc i la Llacuna del Poblenou,41.40062,2.18952,Entire townhouse,Entire home/apt,3,3.0,4.0,$314.00,3,30,3.0,3.0,1125.0,1125.0,3.0,1125.0,22,35,35,35,288,10,0,35,27,60,18840.0,4.82,4.82,4.67,4.92,4.91,4.53,4.68,t,1,1.85
98%,98%,f,11.0,25.0,t,Sant Antoni,41.3773,2.16308,Entire rental unit,Entire home/apt,3,1.0,1.0,$112.00,1,30,2.0,4.0,8.0,365.0,3.8,259.4,2,12,33,52,319,19,2,51,30,114,12768.0,4.41,4.59,4.46,4.74,4.81,4.71,4.34,t,7,2.02
96%,90%,t,15.0,16.0,t,la Dreta de l'Eixample,41.39362,2.16868,Entire townhouse,Entire home/apt,10,4.0,6.0,$651.00,3,1124,2.0,5.0,1124.0,1124.0,3.3,1124.0,10,36,56,228,278,26,1,70,20,156,101556.0,4.85,4.79,4.86,4.88,4.92,4.99,4.73,f,15,1.78
96%,90%,t,15.0,16.0,t,Sant Gervasi - Galvany,41.39679,2.14705,Entire rental unit,Entire home/apt,5,2.0,3.0,$151.00,3,1124,3.0,4.0,1124.0,1124.0,3.3,1124.0,8,21,51,219,423,36,3,58,37,216,32616.0,4.68,4.75,4.78,4.86,4.91,4.66,4.62,f,15,2.69
100%,92%,t,3.0,3.0,t,la Nova Esquerra de l'Eixample,41.38584,2.14458,Private room in rental unit,Private room,1,1.0,1.0,$35.00,31,365,21.0,31.0,1125.0,1125.0,31.0,1125.0,18,18,18,267,14,12,0,18,7,255,8925.0,4.71,4.93,4.64,4.86,5.0,4.79,4.5,f,3,0.64
100%,92%,t,3.0,3.0,t,la Nova Esquerra de l'Eixample,41.38527512062284,2.1469959661827978,Private room in rental unit,Private room,1,1.0,1.0,$28.00,31,365,11.0,31.0,1125.0,1125.0,29.8,1125.0,0,14,44,319,11,3,0,63,1,186,5208.0,4.82,4.82,5.0,4.91,4.82,5.0,4.82,f,3,0.15
100%,100%,t,1.0,1.0,t,ProvenÃ§als del Poblenou,41.40924,2.20118,Entire home,Entire home/apt,4,1.0,2.0,$127.00,3,1125,2.0,3.0,1125.0,1125.0,3.0,1125.0,6,15,45,293,343,36,0,63,43,216,27432.0,4.78,4.85,4.91,4.91,4.89,4.55,4.67,f,1,2.71
100%,95%,f,1.0,1.0,t,el Clot,41.40828,2.19255,Entire rental unit,Entire home/apt,4,2.0,3.0,$171.00,3,30,3.0,3.0,30.0,30.0,3.0,30.0,16,38,62,327,276,35,2,79,37,210,35910.0,4.78,4.89,4.91,4.89,4.94,4.76,4.66,f,1,1.75
80%,65%,t,1.0,1.0,t,el Parc i la Llacuna del Poblenou,41.39181,2.18511,Private room in rental unit,Private room,2,1.0,1.0,$54.00,2,30,1.0,2.0,30.0,30.0,2.0,30.0,1,4,20,26,94,37,1,20,28,222,11988.0,4.81,4.83,4.72,4.93,4.86,4.94,4.78,f,1,0.7
100%,99%,t,5.0,5.0,t,la Vila de GrÃ cia,41.40231757487323,2.1587574688632936,Entire rental unit,Entire home/apt,3,2.0,3.0,$177.00,3,364,2.0,3.0,365.0,1125.0,3.0,1118.8,8,24,54,103,504,60,4,72,58,255,45135.0,4.79,4.82,4.82,4.87,4.92,4.87,4.68,f,3,3.25
100%,98%,t,18.0,22.0,t,l'Antiga Esquerra de l'Eixample,41.38734,2.16448,Entire serviced apartment,Entire home/apt,2,1.0,1.0,$257.00,3,30,1.0,5.0,15.0,15.0,3.1,15.0,16,46,76,344,109,20,1,94,21,120,30840.0,4.96,4.97,4.96,4.99,4.95,4.95,4.83,f,18,0.87
100%,98%,t,18.0,22.0,t,l'Antiga Esquerra de l'Eixample,41.38686,2.16449,Entire serviced apartment,Entire home/apt,4,2.0,3.0,$358.00,3,30,1.0,5.0,15.0,15.0,3.0,15.0,5,15,38,289,140,27,1,49,35,162,57996.0,4.86,4.92,4.85,4.94,4.96,4.96,4.76,f,18,1.11
100%,100%,f,1.0,1.0,t,el Poble Sec,41.37455,2.16669,Entire rental unit,Entire home/apt,4,2.0,3.0,$127.00,4,124,2.0,5.0,1125.0,1125.0,4.1,1125.0,3,14,44,194,403,40,4,62,40,255,32385.0,4.52,4.66,4.61,4.85,4.84,4.73,4.43,t,1,2.63
